PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
276847653,22047618,6,2022-03-31T08:42:00,"1900 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1408,5,3,-79.9230679471987,40.4358796223012
276857084,22047668,0,2022-03-30T09:45:00,"2200 Block Shady Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,2709.1 Stalking Conduct or Repeatedly Acts Including Follows,1408,5,3,-79.9187784031405,40.4333769397889
277304605,22050629,6,2022-04-05T10:10:00,"1100 Block Round Top St Pittsburgh, PA 15205",N,Crafton Heights,6,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2815,,,,
-3413183632,22043806,27,2022-03-24T14:51:00,"S 23rd St & Sidney St Pittsburgh, PA 15203",Y,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1609,3,3,-79.9729454939022,40.4292456624039
276218398,22043851,18,2022-03-24T15:17:00,"Bingham St & S 6th St Pittsburgh, PA 15203",Y,South Side Flats,3,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,1702,3,3,-79.9936346226734,40.4293585475718
276225668,22043681,10,2022-03-24T10:16:00,"1500 Block Alverado Ave Pittsburgh, PA 15216",Y,Beechview,6,HARRASSMENT,2709(a) Harassment.,1916,,,,
276227979,22043910,10,2022-03-24T17:21:00,"2400 Block Woodward Ave Pittsburgh, PA 15226",Y,Brookline,6,SIMPLE ASSAULT,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault.",1919,4,5,-80.0223422334561,40.4000430609667
276231792,22044015,99,2022-03-24T18:51:00,"40 Block S 9th St Pittsburgh, PA 15203",N,South Side Flats,3,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1702,,,-79.9055298797069,40.4078659962369
276298460,22044338,5,2022-03-24T10:00:00,"7200 Block Mt Vernon St Pittsburgh, PA 15208",N,Homewood North,5,BURGLARY,3502 Burglary.,1302,9,2,-79.8944010830047,40.4611940783522
276307626,22044356,99,2022-03-25T11:45:00,"2300 Block Park Hill Dr Pittsburgh, PA 15221",Y,East Hills,5,AIDED CASE,9497 Aided Case,1306,9,2,-79.8740816622072,40.4547583578433
276329925,22044573,6,2022-03-25T17:04:00,"6000 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115,9,2,-79.9247104221077,40.4611889439979
276330049,22044505,99,2022-03-25T15:59:00,"900 Block Freeport Rd Pittsburgh, PA ",N,Lincoln-Lemington-Belmar,5,GANG RELATED INCIDENT,9010 Gang Related Incident,1201,9,2,-79.8923529450752,40.4861185015656
-2816177760,22044662,0,2022-03-25T20:00:00,"900 Block Marena St Pittsburgh, PA 15220",Y,Elliott,6,99,8106 Shots Fired,2020,2,5,-80.0364501426773,40.4451742692941
276184303,22043673,27,2022-03-24T10:00:00,"1700 Block E Saw Mill Way Pittsburgh, PA 15210",Y,Shadyside,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,705,,,,
276750695,22047011,27,2022-03-30T11:00:00,"1400 Block Forsythe St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2715,,,,
274846613,22035302,6,2022-03-10T00:28:00,"1000 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 601.12 Interference with Official Duties,1702,3,3,-79.9885400463659,40.4287030733853
274847904,22035329,10,2022-03-09T23:00:00,"1000 Block Gerritt St Pittsburgh, PA 15208",Y,Homewood West,5,INTIMIDATION  WITNESS/VICTIMS,4952 Intimidation of Witnesses or Victims / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,1207,9,2,-79.9018065027559,40.4596980151642
