id,name,address_number,street,city,hours_of_operation,notes,phone_number,website,managed_by_city,accepts_alkaline_batteries,accepts_automotive_batteries,accepts_cfl_lightbulbs,accepts_clothing,accepts_collectibles,accepts_computers_and_peripherals,accepts_construction_and_demolition_waste,accepts_fluorescent_tube_lightbulbs,accepts_freon_appliances,accepts_household_chemicals_and_waste,accepts_household_recyclables,accepts_plastic_bags_and_films,accepts_prescription_medication,accepts_propane_tanks,accepts_rechargeable_batteries,accepts_scrap_metal,accepts_small_business_recyclables,accepts_tires,accepts_tvs_and_monitors,accepts_yard_debris,accepts_cell_phones,accepts_general_electronics,accepts_ink_and_toner,accepts_motor_oil,inactive,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1961537237,ABC - EX Transfer Station,1010,McKee St,Stowe Twp,7:00 a.m. - 4:45 p.m. Monday - Friday. 9:00 a.m. - 1:00 p.m. Saturdays,"Call to confirm accepted/unaccepted items.

$75/Ton",412-331-3590,https://abcez.com/services/,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,,,42003462100,,,,,40.477093,-80.06493688
1712687323,Advance Auto Parts - Babcock Blvd,1445,Babcock Blvd,Shaler Twp,7:30 a.m. - 6:00 p.m. Monday - Friday 8:00 a.m. - 4:00 p.m. Saturdays 9:00 a.m. - 3:00 p.m. Sundays,,412-821-2700,https://shop.advanceautoparts.com/o/storeservices?utm_medium=local&utm_source=aaplocator&utm_campaign=store-page,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,,,,42003427200,,,,,40.49727,-79.978461
2029078673,Advance Auto Parts - East Liberty,5905,Station St,Pittsburgh,7:30 a.m. - 9:00 p.m. Monday - Saturday 9:00 a.m. - 6:00 p.m. Sundays,,412-661-7050,https://shop.advanceautoparts.com/o/storeservices?utm_medium=local&utm_source=aaplocator&utm_campaign=store-page,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,East Liberty,9,11,42003111500,2,11,5,3-8,40.464459,-79.9249635
1877381706,Advance Auto Parts - Etna,475,Butler St,Etna,7:30 a.m. - 9:00 p.m. Monday - Saturday 9:00 a.m. - 8:00 p.m. Sundays,,412-781-5480,https://shop.advanceautoparts.com/o/storeservices?utm_medium=local&utm_source=aaplocator&utm_campaign=store-page,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,,,,42003425000,,,,,40.500734,-79.943943
1160745337,Allegheny County Health Department,3901,Penn Ave,Pittsburgh,"8:00 a.m. - 4:00 p.m., Monday - Friday",,412-578-8390,,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46542,-79.959001
758154727,Appliance Warehouse,504,Bingham St,Pittsburgh,"9:00 a.m. - 5:00 p.m., Monday - Saturday",,412-247-4460,,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,South Side Flats,3,17,42003170200,3,17,3,4-2,40.429444,-79.994381
701945774,Batteries Plus Bulbs - North Hills,4808,McKnight Rd,Ross Twp,"8:00 a.m. - 8:00 p.m. Monday - Friday 8:00 a.m. - 7:00 p.m., Saturdays 11:00 a.m. - 6:00 p.m., Sundays",Fees May Apply,412-366-3600,https://www.batteriesplus.com/t/recycling,f,f,t,t,f,f,f,f,t,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,,,,42003429202,,,,,40.52500377,-80.00502123
1693588898,Batteries Plus Bulbs - Robinson,401,Home Dr,North Fayette Twp,"8:00 a.m. - 8:00 p.m. Monday - Friday 8:00 a.m. - 7:00 p.m., Saturdays 11:00 a.m. - 6:00 p.m., Sundays",Fees May Apply,412-366-3600,https://www.batteriesplus.com/t/recycling,f,f,t,t,f,f,f,f,t,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,,,,42003453004,,,,,40.450154,-80.183213
628800794,Best Buy - Homestead,NA,,,10:00 a.m. - 9:00 p.m. Monday - Saturday,,412-476-8061,http://www.bestbuy.com/site/clp/recycling/pcmcat149900050025.c?id=pcmcat149900050025,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,,,,42003484300,,,,,40.41244721,-79.90334827
1091895125,Best Buy - North Hills,NA,,,10:00 a.m. - 9:00 p.m. Monday - Saturday,Does NOT accept televisions or computer monitors,412-635-6110,http://www.bestbuy.com/site/clp/recycling/pcmcat149900050025.c?id=pcmcat149900050025,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,,,,42003429500,,,,,40.52323407,-80.00662519
